transactionid,vehicleid,soldprice,odometerkm,conditiongrade,modelyear,msrp,weight,VIC,SUV,FWD,Audi_Benz,BMW,Ford,Holden,Hyundai,soldyear,yr_diff,turbo,large,medium,luxury,engine_vol,cyliner,diesel,NAmerica,Europe,Asian
5643984,3204,39500,26700,1,2018,63400,1505,1,0,0,1,0,0,0,0,2020,2,1,0,1,1,1.5,4,0,0,0,0
5646326,3204,41500,17377,1,2018,63400,1505,1,0,0,1,0,0,0,0,2020,2,1,0,1,1,1.5,4,0,0,0,0
5650363,3204,41500,13396,1,2018,63400,1505,1,0,0,1,0,0,0,0,2020,2,1,0,1,1,1.5,4,0,0,0,0
5652132,3204,40500,23510,1,2018,63400,1505,1,0,0,1,0,0,0,0,2020,2,1,0,1,1,1.5,4,0,0,0,0
5731189,3204,43500,20644,1,2018,63400,1505,1,0,0,1,0,0,0,0,2020,2.5,1,0,1,1,1.5,4,0,0,0,0
6061928,3204,46250,17782,1,2018,63400,1505,1,0,0,1,0,0,0,0,2020,2.5,1,0,1,1,1.5,4,0,0,0,0
6071090,3204,43500,2210,1,2018,63400,1505,1,0,0,1,0,0,0,0,2020,2.5,1,0,1,1,1.5,4,0,0,0,0
6074511,3204,47000,18908,2,2018,63400,1505,1,0,0,1,0,0,0,0,2020,2.5,1,0,1,1,1.5,4,0,0,0,0
6189744,3204,44500,57836,2,2018,63400,1505,1,0,0,1,0,0,0,0,2021,3,1,0,1,1,1.5,4,0,0,0,0
6047127,3205,47500,8642,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1,1,0,1,1,2,4,0,0,0,0
6048634,3205,43500,9353,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6048675,3205,43500,19012,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6048685,3205,42000,24924,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6048879,3205,43000,11847,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6049074,3205,43000,13855,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6049317,3205,43500,21763,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6049340,3205,42000,22015,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6049443,3205,42500,19602,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6051069,3205,43000,14126,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6051317,3205,42500,11266,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6052650,3205,43500,15981,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6052743,3205,42000,20533,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6053135,3205,45000,8713,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6053154,3205,45000,7847,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6054949,3205,44000,10921,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6057918,3205,49000,16794,1,2019,64500,1505,1,0,0,1,0,0,0,0,2021,2,1,0,1,1,2,4,0,0,0,0
6057921,3205,44500,9867,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6059057,3205,43500,12319,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6059790,3205,42500,10224,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6059801,3205,43000,12388,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6060320,3205,48000,11578,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6060462,3205,43500,12534,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6087564,3205,52500,7122,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6092018,3205,53500,4754,1,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6121026,3205,56000,9101,2,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6165536,3205,61500,13811,2,2019,64500,1505,1,0,0,1,0,0,0,0,2020,1.5,1,0,1,1,2,4,0,0,0,0
6191458,3205,62500,4165,1,2019,64500,1505,1,0,0,1,0,0,0,0,2021,2,1,0,1,1,2,4,0,0,0,0
6207659,3205,63500,9997,1,2019,64500,1505,1,0,0,1,0,0,0,0,2021,2,1,0,1,1,2,4,0,0,0,0
5281813,11852,32000,8196,2,2018,44790,1600,1,1,1,0,0,0,0,0,2018,.5,0,0,1,0,2.5,4,0,0,0,1
5281829,11852,34000,1705,1,2018,44790,1600,1,1,1,0,0,0,0,0,2019,1,0,0,1,0,2.5,4,0,0,0,1
5281830,11852,32250,7087,1,2018,44790,1600,1,1,1,0,0,0,0,0,2019,1,0,0,1,0,2.5,4,0,0,0,1
5315429,11852,31750,14493,1,2018,44790,1600,1,1,1,0,0,0,0,0,2019,1,0,0,1,0,2.5,4,0,0,0,1
5315430,11852,34000,7595,1,2018,44790,1600,1,1,1,0,0,0,0,0,2018,.5,0,0,1,0,2.5,4,0,0,0,1
5315468,11852,33750,8515,1,2018,44790,1600,1,1,1,0,0,0,0,0,2018,.5,0,0,1,0,2.5,4,0,0,0,1
5315523,11852,33250,7174,2,2018,44790,1600,1,1,1,0,0,0,0,0,2018,.5,0,0,1,0,2.5,4,0,0,0,1
5315541,11852,34250,5959,1,2018,44790,1600,1,1,1,0,0,0,0,0,2018,.5,0,0,1,0,2.5,4,0,0,0,1
